Item UPC,Top 500,ID,UPC,Product ID,Sequence,Manufacturer,Distributor,Brand,Product Description,Product Size,Drug Interactions,Directions,Indications,Ingredients,Vitamin and Minerals,Low Fat,Low Sodium,Fat Free,Sugar Free,Good Source of Fiber,Vegan,Vegetarian,Lactose Fre,Flavor,Antibiotic Free,Temperature Indicator,Wheat Free,Gluten Free,Hormone Free,Natural,Nitrates Free,Nitrites Free,Organic,Peanut Free,Ready to Cook,Ready to Heat,Dairy Free,Egg Free,Kosher Codes,Recycle Codes,NDC Code,Country of Origin
071012010509,84,36332,00071012010509,97986980-6886-11e1-8428-005056ab0051,1,King Arthur Flour Co. Inc.,,King Arthur Flour,King Arthur Flour Unbleached All-Purpose Flour,,,,,"No bleach or preservatives
Ingredients: Unbleached Hard Wheat Flour, Malted Barley Flour (a Natural Yeast Food), Niacin (A B Vitamin), Reduced Iron, Thiamin Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid (A B Vitamin).",Folate--10%.,,,,,,,,,,,,,,,,,,,,,,,,1,,,
079900001578,86,76537,00079900001578,389f3be0-237d-11e2-87f5-005056ab0051,1,Jasper Wyman & Son,,Wyman's,Wyman's of Maine Wild Blueberries Fresh Frozen,,,"Thawing Instructions:
Room Temperature.
Place in bowl and defrost for approximately 30 minutes or until thawed.
Microwave: Place in microwave-safe bowl. Use defrost setting for 1 minute or until thawed.",,Wild Blueberries.,,,,,,,,,,,,Frozen,,,,,,,,,,,,,"1,15",7,,USA
027000650615,87,76470,00027000650615,585f13f0-196a-11e2-9a8a-005056ab0051,1,ConAgra Foods Inc.,,Pure Wesson,Pure Wesson 100% Natural Corn Oil,,,"Usage tips:
Deep frying-fried chicken, French fries, fried fish, fried appetizers.
Ethnic foods-Mexican and Southwestern foods.
Baking-substitute for melted butter, margarine or shortening.",,Ingredient: Corn Oil.,,,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,2,,,
041196011128,88,27488,00041196011128,72a44bc0-b478-11e0-80b2-005056957023,1,"General Mills, Inc.",Progresso Foods,Progresso,Progresso Traditional Gluten Free New England Clam Chowder Soup,,,"Ready to serve. Do not add water.
Stove-top: Heat in saucepan over medium heat.
Microwave: Heat in covered microwavable bowl on high 2-4 min. Careful-leave in microwave 1 min; stir. Refrigerate leftovers.
1. Lift tab to rim.
2. Pull up & back slowly.",,"Clam Broth, Potatoes, Clams, Soybean Oil, Water, Modified Food Starch, Onions. Contains less than 1% of: Soy Protein Concentrate, Sugar, Salt, Cream, Butter, Sodium Phosphate, Potassium Chloride, Artificial Color, Datem, Lobster Powder, Natural Flavor, Shrimp, Crab Powder, Parsley*, Celery*, Fish Powder, Tuna Extract, Spice, Yeast Extract, Corn Protein (Hydrolyzed), Whey.
*Dried.",,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,
051500795903,89,37510,00051500795903,0c749a00-5f0c-11e1-a6a8-005056957023,1,"General Mills, Inc.",The J.m. Smucker Company,Pillsbury,Pillsbury Quick Bread Pumpkin Bread & Muffin Mix,,,"What you need:
Quick bread.
1 cup water.
3 tablespoons oil.
2 eggs.
1. Heat oven to 375 degrees F. Generously grease (or use cooking spray) bottom only of 8x4, 9x5-inch or 3 (3x5-inch) loaf pan(s).
2. Combine mix, water, oil and eggs in large bowl. Stir 50 to 75 strokes until mix is blended. Pour into greased pan(s).
We recommend using Crisco oil.
3. Bake at 375 degrees F as directed or until toothpick inserted in center comes out clean.
8x4-inch loaf pan - 9x5-inch loaf pan - 3 (3x5-inch) loaf pans.
45 to 55 min - 40 to 50 min - 35 to 45 min.
Cool 20 minutes. Loosen edges with knife or metal spatula; remove from pan.
What you need:
Muffins.
1 cup milk.
1/3 cup oil.
2 eggs.
1. Heat oven to 400 degrees F.* Spray 12 muffin cups with cooking spray or line with paper baking cups.
2. Combine mix, milk, oil and eggs in large bowl. Stir 50 to 75 strokes until mix is blended. Divide batter evenly among muffin cups, filling about 3/4 full. 
We recommend using Crisco oil.
3. Bake at 400 degrees F for 15 to 20 minutes or until golden brown and toothpick inserted in center comes out clean. Cool 2 to 3 minutes in pan.
*Reduce temperature by 25 degrees F if using dark pan.
High altitude (above 3500 feet): add 1/4 cup flour to dry mix. Bake as directed.
Storage: wrap leftovers and store in refrigerator up to 1 week or freeze up to 3 months.",,"Sugar, Enriched Bleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Dried Pumpkin, Wheat Starch, Partially Hydrogenated Soybean Oil, contains 2% or less of: Dextrose, Baking Powder (Baking Soda, Sodium Acid Pyrophosphate, Monocalcium Phosphate), Cinnamon, Nonfat Milk, Corn Starch, Spice, Propylene Glycol Monoesters, Salt, Cellulose, Mono- and Diglycerides, Colored with Yellow 5 and Red 40, Polysorbate 60, Soy Lecithin, TBHQ and Citric Acid (Antioxidants).",,,,,,,,,,,,,,,,,,,,,,,,,"1,13",Y,,
019600050308,91,29674,00019600050308,7c0bb4b0-a4ea-11e1-b291-005056ab0051,1,Pinnacle Foods Group LLC,Pinnacle Foods Group LLC,Celeste,Celeste Pizza For One Original 4 Cheese,,,"Keep frozen.
For food safety & quality, follow these cooking instructions. Do not thaw.
Conventional oven directions:
Do not put microwave disk in conventional oven.
For crisp crust:
1. Place baking sheet on center oven rack; preheat oven to 425 degrees F.
2. Remove frozen pizza from carton; unwrap.
3. Place frozen pizza on preheated baking sheet.
4. Bake 10 to 12 minutes or until center cheese is melted and crust edge is golden brown.
For extra crisp crust: place frozen pizza directly on center oven rack. Bake as directed.
Microwave oven directions:
Cook only 1 pizza at a time. Do not add additional toppings.
Microwave ovens vary. Pizza is thoroughly cooked when cheese is melted and hot (at least 165 degrees F).
1. Remove frozen pizza and microwave disk from carton; unwrap.
2. Center disk, silver side up, on microwave-safe plate. Place frozen pizza on disk.
3. Microwave on high (see chart below) or center TrueCook code 1071.
Microwave oven: Cook time.
1100 watt: 3 minutes.
700 watt: 4 1/2 minutes.
4. Use pot holders to remove plate from oven. Loosen pizza from disk with spatula.
Caution: disk and pizza will be very hot.
Note: microwave ovens vary. Cooking time may need to be adjusted.
Promptly refrigerate any unused portion.",,"Topping: Sauce (Tomato Puree [Water, Tomato Paste], Seasoning (Salt, Spices, Sugar, Dehydrated Garlic), Parmesan and Romano Cheese Blend (Pasteurized Cow's Milk, Enzyme, Salt), Green Bell Peppers, Flavor Blend (Maltodextrin, Dextrose, Natural Spice Oleoresins), Modified Corn Starch, Corn Oil, Xanthan Gum), Low Moisture Part-Skim Mozzarella Cheese (Cultured Pasteurized Part-Skim Milk, Salt, Enzymes), Provolone Cheese (Pasteurized Milk, Cultures, Salt, Enzymes, Smoke Flavoring), Crust: Wheat Flour with Malted Barley Flour, Water, Shortening Flake (Palm Oil, Soy Lecithin, Natural Butter Flavor and Beta Carotene), Soybean Oil, Yeast, High Fructose Corn Syrup, Salt, Fermented Wheat Flour, Cultured Corn Syrup Solids, Dough Conditioner (L-Cysteine Monohydrochloride).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
072521049653,92,83953,00072521049653,f8f49cd0-505c-11e2-ad76-005056ab0051,1,Cott Beverages Inc.,,Vintage,Vintage Seltzer Lemon Lime,,,,,"Carbonated Water, Natural Flavor.",,,,,,,,,,,,,,,,,,,,,,,,,14,1,,
024321915911,93,80339,00024321915911,c564c060-42e3-11e2-9af1-005056ab0051,1,Agropur,,Parmalat,Parmalat 1% Lowfat Milk Vitamin A&D,,,"Shake Well. Best Served Chilled.
Refrigerate after opening. 
Use contents within 7 days of opening.
Tips for on-the-go lifestyles:
Parents: This product is a convenient, nutritious treat for kids during car trips and airplane flights.
Storm watch: Stock up on our milk products for those unexpected storms that keep you indoors. This is especially useful for the elderly.
Travel tip: take it with you in the car when you're traveling to a vacation destination. There is no need for refrigeration in transit; just chill when you arrive and enjoy.
Run out of milk lately? Keep UHT shelf-stable milk on hand when you don't get to the store often. Store real milk for six months or longer without refrigeration. You'll never reach in the refrigerator for a container of milk past its freshness date again!
Flatten box to reduce trash.",,"Grade A UHT Low Fat Milk, Vitamin A Palmitate and Vitamin D3.",Vitamin B2--25%,,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,"6,13",,,USA
020000111971,94,22612,00020000111971,5ed48c50-4cf2-11e1-a2c8-005056957023,1,"General Mills, Inc.","General Mills Sales, Inc.",Green Giant,Green Giant Cut Green Beans,,,"Stove-top:
Heat just to boiling; drain, if desired.
Microwave:
Heat in covered microwavable dish on high 2 1/2 to 3 1/2 minutes; drain, if desired.
Refrigerate leftovers.",,"Green Beans, Water, Salt.",,,,,,,,,,,,,,,,,,,,,,,,,1,Y,,
077567254207,95,13520,00077567254207,38739080-6ded-11e1-b895-005056ab0051,1,Unilever Bestfoods North America,,Breyers,Breyers Chocolate Ice Cream,,,,,"Milk, Cream, Sugar, Cocoa (Processed With Alkali), Whey, Tara Gum, Natural Flavor.",,,,,,,,,,,,,,,,,,,,,,,,,"6,13",,,
041206612604,96,52787,00041206612604,d1c59bc0-dda0-11e1-8799-005056ab0051,1,Seabrook Farms & Sons,,Seabrook Farms,Seabrook Farms Creamed Spinach,,,"Stovetop directions (boil in bag).
1. Place unopened pouch into boiling water. Do not cover pan.
2. Bring water to a second boil: reduce heat and cook for 12 minutes, turning pouch over halfway through heating time.
3. Allow pouch to cool down before cutting open.
4. Pour contents into serving dish, stir well and serve.
Microwave directions (in bag)*.
1. Remove pouch from carton and place on flat suitable dish.
2. Cut a one-inch slit through the upper surface of the pouch at about mid-point.
3. Cook on high for 5 to 5 1/2 minutes*.
*Times may vary slightly depending on the model of microwave oven used.
Note: cooked product will be hot; handle with care.
Let stand 1 to 2 minutes before serving.
Keep package frozen until ready for use. Always remove contents after cooking. Do not store in pouch.",,"Spinach, Water, Whole and Nonfat Dry Milk (Nonfat Dry Milk, Whey Solids, Dried Cream, Milk Protein Concentrate and Lecithin), Corn Starch - Modified, Heavy Cream (Cream, Milk, Carrageenen, Mono-Diglycerides, Cellulose Gum Polysorbate 80), Canola Oil (High Oleic Canola Oil, Citric Acid added to preserve freshness), Sugar, Salt, Rice Flour, Butter (Cream, Salt), Wheat Flour, Spices.",,,,,,,,,,,,,,,,,,,,,,,,,"999,13",,,USA
013600020224,97,39038,00013600020224,9ad72c50-cc48-11e1-8e1b-005056ab0051,1,Cargill Incorporated/Salt Business Unit,,Diamond Crystal,Diamond Crystal Winter Melt,,,"Melts ice down to: 5 degrees F (-15 degrees C) when used as directed.
Directions for use: remove slush and as much loose snow as possible before ice melter application. Spread Winter Melt* evenly across surface area. Apply 1/2-1 cup per square yard, depending on ice thickness and air temperature, as needed. Reapply as necessary. When ice and snow soften, remove slush and any excess ice melter from pavement for good concrete maintenance.
Storage information:
Salt crystals contain sodium chloride, which may harden and cake if exposed to moisture.
Close and reseal container tightly to keep product dry, or place in a moisture-proof container.
Store in a dry place.
Always store ice melters out of reach of children and pets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,USA
014500004406,98,112832,00014500004406,a8950bc0-0b56-11e3-9b46-005056ab0051,1,Pinnacle Foods Group LLC,,Birds Eye,Birds Eye Select Vegetables Classic Mixed Vegetables,,,"Keep frozen.
Store tightly closed in freezer at 0 degrees F.
Cook thoroughly before eating.
Microwave instructions:
1) Place mixed vegetables in microwave safe dish. Add 1/2 cup water (1/4 cup for half package).
2) Cover and microwave on high for 5-6 minutes* (3-4 minutes* for half package); stir halfway through cooking.
3) Drain. (Cook time based on 1200 watt microwave; cook time may need to be adjusted for your microwave).
Stovetop instructions.
1) Place mixed vegetables in saucepan. Add 1/2 cup water (1/4 cup for half package). Bring water to a full boil over high heat.
2) Reduce heat to medium-high and cover. Cook 5-6 minutes* (3-4 minutes* for half package), stirring occasionally.
3) Drain.
*For food safety and best quality, cook to a temperature of 160 degrees F.
From our chef.
Turkey and Gravy with Stuffing Dumplings.
16 oz. Birds Eye® Classic Mixed Vegetables, cooked according to package directions and drained.
4 cups chopped cooked turkey.
2 cans turkey gravy (10.5 oz. each).
1 box turkey flavored stuffing mix (6 oz.).
Combine vegetables, turkey and gravy in a large skillet. Prepare stuffing according to package directions. Do not cover when pan is removed from heat. Use a scoop to place stuffing dumplings on top of turkey. Cover and cook over medium heat until heated through, about 10 minutes.",,"Corn, Carrots, Green Beans, Peas, Salt.",,,,Y,,,,,,,,Frozen,,,,,,,,,,,,,14,,,"Canada, USA"
070230102706,99,8406,00070230102706,bce97e20-d4db-11e0-9ec1-005056957023,1,Nestle Purina PetCare Company,,Purina,Purina Tidy Cats Non-Clumping for Multiple Cats Breathe Easy Cat Litter,,,"To open: pull colored tape off to the left.
Use a moisture-proof cat box large enough to comfortably accommodate your cat(s). We recommend removing solid waste daily and cleaning the cat box with warm water and a mild detergent between litter changes.
1. Pour to a depth of 2-3 inches.
2. Remove solids daily.
3. Add more litter to maintain a depth of 2-3 inches.
Note: We want to remind those with suppressed immune systems and pregnant women that a parasite sometimes found in cat feces can cause toxoplasmosis. 
This product does not protect users or others against disease-causing bacteria. Please wash hands thoroughly after handling used cat litter. Encouraging your cat to use an indoor litter box, or properly disposing of outdoor cat feces, is beneficial to overall water quality. Please do not flush cat litter in toilets or dispose of it outdoors in gutters or storm drains. Used litter is not recommended for garden use. Store in a dry place. Product is filled by weight; some settling may occur.",,Natural Clay Product with Deodorizing System and Odor-Causing Bacteria Growth Inhibitor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
070575040091,100,102410,00070575040091,d0291470-de96-11e2-a2d2-005056ab0051,1,8a76fca1-ee34-11e2-8b75-005056ab0051,"On-Cor Frozen Foods, LLC",On-Cor,On-Cor Gravy & Salisbury Steaks - 6 CT,,,"Keep frozen.
Cook thoroughly.
Cooking instructions:
For food safety and quality follow these cooking instructions.
Microwave ovens:
Remove heat-safe tray from carton.
Place the heat-safe tray on a microwave-safe plate. (Peel one corner of film to vent).
Microwave on high (100% power) for 10 minutes.
Carefully peel back film, separate any portions still frozen and spoon gravy over patties. Replace film. Rotate tray 1/2 turn.
Microwave on high (100% power) for 6 to 7 minutes or until fully cooked.
Let stand 2 minutes.
Carefully remove microwave-safe plate with oven mitts from microwave oven.
Check that product is cooked thoroughly. Internal temperature needs to reach 165 degrees F as measured by a food thermometer in several spots.
Conventional ovens:
Preheat oven to 375 degrees F.
Remove heat-safe tray from carton.
Remove film from tray.
Place on cooking sheet in center of oven.
Cook for 45 to 50 minutes or until fully cooked.
Carefully remove cooking sheet from oven with oven mitts and let stand for 2 minutes.
Check that product is cooked thoroughly. Internal temperature needs to reach 165 degrees F as measured by a food thermometer in several spots.
Note: due to variance in appliances cooking times and/or temperatures may require adjustment. Always handle tray with oven mitts.
Keep frozen until ready to use.
Do not re-freeze.",,"Gravy: Water, Modified Corn Starch, Less Than 2% of The Following Bleached Wheat Flour (Wheat Flour, Malted Barley Flour), Salt, Toasted Onion Powder, Dehydated Onion, Monosodium Glutamate, Hydrolyzed Soy Protein, Sugar, Garlic Powder, Black Pepper, Partially Hydrogenated Soybean and Cottenseed Oil, Autolyzed Yeast Extract Caramel Color Salisbury Steaks: Mechanically Separated Chicken, Pork Beef, Water, Soy Protein Concentrate, less than 2% of the following: Wheat Flour, Dehydrated Onion, Salt, Sodium Phosphate, Lactose Reduced Whey, Hydrolyzed Soy and Corn Protein, Caramel Color, Dextrose Sugar, Dehydrated Peppers, Monosodium Glutamate, Pepper, Flavorings.",,,,,,,,,,,,Frozen,,,,,,,,,,,,,,,,
024000322306,101,108020,00024000322306,11396350-f95b-11e2-9937-005056ab0051,1,College Inn,College Inn,College Inn,College Inn Chicken Broth,,,,,"Chicken Broth, contains less than 1 % of the following: Salt, Dextrose, Chicken Fat, Monosodium Glutamate, Hydrolyzed Wheat Gluten, Natural Flavors, Autolyzed Yeast Extract, Carrot Juice Concentrate, Mono and Diglycerides, Xanthan Gum, Onion Juice Concentrate.",,,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,,Y,,
014500004390,103,112707,00014500004390,dc906370-0b56-11e3-9b46-005056ab0051,1,Pinnacle Foods Group LLC,,Birds Eye,Birds Eye Select Vegetables Sweet Kernel Corn,,,"Keep frozen.
Store tightly closed in freezer at 0 degrees F.
Cook thoroughly before eating.
Microwave instructions:
1) Place corn in microwave safe dish. Add 1/4 cup water (2 tablespoons for half package).
2) Cover and microwave on high for 6-7 minutes* (4-5 minutes* for half package); stir halfway through cooking.
3) Drain.
(Cook time based on 1200 watt microwave; cook time may need to be adjusted for your microwave.).
Stovetop instructions:
1) Place corn in saucepan. Add 1/2 cup water (1/4 cup for half package). Bring water to a full boil over high heat.
2) Reduce heat to medium-high and cover. Cook 4-5 minutes* (3-4 minutes* for half package), stirring occasionally.
3) Drain.
*For food safety and best quality, cook to a temperature of 160 degrees F.
From our chef.
Southwestern Soup.
16 oz. Birds Eye® Sweet Kernel Corn.
1/2 cup chopped green pepper.
2 cans chili (15 oz. each).
1 cup hot water.
Cook all ingredients over medium heat for 10 to 12 minutes or until heated through. Serve garnished with sour cream and crushed tortilla chips.",,Corn.,,Y,,,,,,,,,,Frozen,,,,,,,,,,,,,14,,,USA
051500766422,104,97625,00051500766422,fe4693b0-5f0c-11e1-a6a8-005056957023,1,The J.M. Smucker Company,The J.m. Smucker Company,Pillsbury,Pillsbury Chocolate Fudge Family Size Brownie Mix,,,"Tips & tricks:
Spread brownies with your favorite Pillsbury® frosting.
Line baking pan with aluminum foil that overlaps the edges, spray with no-stick cooking spray, pour in brownie batter and bake as usual. After cooling, simply lift and remove.
Cut brownies on a diagonal to form diamond shapes or use cookie cutters for decorative shapes.
Freeze cooled brownies for 20 minutes for ease in cutting.
All you need:
1/2 cup oil.
1/4 cup water.
2 Eggs*.
Baking instructions:
1. Set your oven to 350 degrees F for metal or glass pan. For dark-coated pan, set your oven to 325 degrees F. Grease bottom of pan or spray with no-stick cooking spray.
We recommend using Crisco® oil and no-stick cooking spray.
2. Combine brownie mix, oil, water and eggs in large bowl; stir 50 strokes with spoon. Spread into greased pan.
3. Bake at 350 degrees F. Follow the bake times below. For dark-coated pan, bake at 325 degrees F.
Thick: Thicker: Thickest
Pan size: 13""X 9"": 9""x 9"": 8""x 8""
Oven temp: 350degrees F: 350degrees F: 350degrees F.
Bake time: 28 to 31 min: 30 to 35 min: 45 to 50 min.
Cut and serve when completely cooled. Store covered.
*If desired, substitute 3 egg whites or 1/2 cup refrigerated or frozen fat-free egg product, thawed, for the 2 whole eggs.
High altitude (above 3500 feet): add 1/2 cup flour to dry brownie mix. Increase water to 1/3 cup. Bake as directed above.
Chocolate fudge double batch: grease bottom of 15x10x1-inch baking pan. Combine 2 packages brownie mix, 1 cup oil, 1/2 cup water and 4 eggs; mix as directed above. Bake at 350 degrees F for 35 to 37 minutes.
Cake-like brownies: follow basic directions except use 3 eggs.",,"Sugar, Enriched Bleached Flour (Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Cocoa Processed with Alkali And Cocoa, Partially Hydrogenated Soybean Oil, Contains 2% or less of: Corn Starch, Salt, Natural and Artificial Flavor, Baking Soda.",,,,,,,,,,,,,,,,,,,,,,,,,"1,13",Y,,
071300000762,105,51798,00071300000762,d9119340-9e9c-11e1-a291-005056ab0051,1,New World Pasta Company,New World Pasta Company,Ronzoni,Ronzoni Enriched Macaroni Product Penne Rigate,,,"Step 1: Select Number of Portions.
Portion - Pasta - Water - Salt.
1 - 1/4 box - 2 qt - 1 tsp.
2 - 1/2 box - 3 qt - 2 tsp.
4 - Full box - 5 qt - 1 Tbsp.
Step 2 : Pick your Time/Firmness.
5 minutes al dente. 6 minutes firm. 7 minutes tender.
Step 3 Cooking Directions:
1. Bring water to a rapid boil. To add flavor and reduce stickiness, add salt.
2. Add pasta and stir; return to rapid boil.
3. Cook uncovered, stirring occasionally.
4. Drain well. Serve as desired.
Maintaining Perfect Pasta. To keep cooked pasta fresh for later use, toss with a small amount of olive oil or sauce, and refrigerate.",,Semolina (Wheat); Durum Flour (Wheat); Niacin; Iron (Ferrous Sulfate); Thiamin Mononitrate; Riboflavin; Folic Acid.,"Folate (Folic Acid)--25%
Iron-10%
Thiamin-30%
Riboflavin-10%
Niacin-15%",,,,,,,,,,,,,,,,,,,,,,,,1,,,United States of America
016000197268,106,134396,00016000197268,6aeccf50-7d35-11e3-8545-005056ab0051,1,"General Mills, Inc.","General Mills Sales, Inc.",Betty Crocker,Betty Crocker Chewy Fudge Brownies Mix 13 x 9 Family Size,,,"Do not eat raw brownie batter.
You will need:
1/4 cup water.
2/3 cup vegetable oil.
2 eggs.
1. Heat oven as directed below (metal or glass pan). Grease (or use cooking spray) bottom of pan.
2. Stir Brownie Mix, water, oil and eggs in medium bowl until well blended. Spread in pan.
3. Bake as directed below* or until toothpick inserted 2 inches from side of pan comes out almost clean; cool. To cut warm brownies easily, cut with plastic knife using short sawing motions. Store tightly covered.
*If using dark or nonstick pan, shorten bake time by 3 min.
Pan size: thick 13"" x 19"" - thicker 9"" x 9"" - thickest 8"" x 8"".
Oven temp: 350 degrees F - 350 degrees F - 325 degrees F.
Bake time (in minutes): 24-26 - 38-40 - 52-54.
Betty's tip: for cakelike brownies, increase eggs to 3.
High altitude (3500-6500 ft): stir 3 tbsp all-purpose flour into dry brownie mix. Make brownies using 1/3 cup water, 1/3 cup oil and 2 eggs. 
For cakelike brownies, stir 3 tbsp all-purpose flour into dry brownie mix. Make brownies using 1/4 cup water, 2/3 cup oil and 3 eggs.",,"Sugar, Enriched Flour Bleached (Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Cocoa Processed with Alkali, Corn Syrup, Partially Hydrogenated Soybean and/or Cottonseed Oil, Corn Starch. Contains 2% or less of: Carob Powder, Salt, Artificial Flavor.",,,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,"1,13",Y,,
027700548755,107,104943,00027700548755,aec0e6d0-ea5a-11e2-8c22-005056ab0051,1,The Schwan Food Company,"Schwan's Consumer Brands, Inc.",Mrs. Smith's,Mrs. Smith's Classic Cherry Pie,,,"Keep frozen...until ready to enjoy!
Bake before serving.
Preparation instructions.
For food safety and quality cook before eating to an internal temperature of 160 degrees F. Keep frozen until ready to bake.
1. Remove pie from freezer. Place oven rack in center position. Preheat oven to 350 degrees F.
2. Remove frozen pie from box. Do not remove pie from original pan. Open center hole of pie and cut 4 to 6 slits in top crust.
3. Center frozen pie on a cookie sheet lined with aluminum foil, and place in preheated oven.
4. Bake pie for SS to 65 minutes until crust is golden brown.
5. Remove pie on cookie sheet from oven using oven mitts. Never handle by edge of pie pan.
6. Serve warm in 30 minutes or cooled after 2 hours. Pies are best when freshly baked.
Store loosely covered at room temperature for up to 3 days.
For a golden, shiny, crispier crust, beat one egg with a whisk and apply with a pastry brush to top crust of pie prior to baking.
Please note: Baking pie on cookie sheet helps crust to bake more evenly. Because ovens vary, adjust time and temperature as necessary.",,"Filling: Cherries, Water, Corn Syrup, Sugar, Modified Food Starch, contains 2% or less of: Salt, Citric, Acid.
Crust: Wheat Flour, Vegetable Shortening (Palm Oil and Soybean Oil with Mono-and Diglycerides), Water, contains 2% or less of: Dextrose, Salt, Citrus Fiber, Baking Soda, Whey, Bleached Wheat Flour With Malted Barley, preserved with Potassium Sorbate.",,,,,,,,,,,,Frozen,,,,,,,,,,,,,"1,13",,,
013000798006,108,27416,00013000798006,72488b20-4d1e-11e1-a2c8-005056957023,1,H.J. Heinz Company,,Heinz,Heinz Gravy Homestyle Savory Beef,,,"Microwave instructions:
Pour gravy into microwave safe container. Heat on high about 3 minutes, stirring once.
After opening, refrigerate any unused portion and use within 5 days.",,"Beef Stock, Water, Modified Corn Starch, Modified Wheat Flour, Beef Fat, Salt, Beef, Butter (Cream, Salt), Hydrolyzed Soy Protein, Soy Sauce (Water, Soybeans, Wheat, Salt), Caramel Color, Whey Powder (Milk), Yeast Extract, Corn Maltodextrin, Sugar, Dextrose, Garlic Powder, Soy Lecithin, Disodium Inosinate, Disodium Guanylate, Onion Powder, Natural Flavoring, Corn Starch, Black Pepper, Soybean Oil, Milk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
014500001900,109,97552,00014500001900,c74bf290-bcd7-11e2-9841-005056ab0051,1,Pinnacle Foods Group LLC,,Birds Eye,Birds Eye Chopped Spinach,,,"Keep frozen.
Cooking directions.
Microwave.
1) Place spinach in microwaveable dish. 
2) Cover & microwave on high 7 minutes. 
3) Separate with fork and cook 2 more minutes*. 
4) Drain.
(Microwave ovens vary in power: adjust cooking time accordingly.)
Stovetop.
1) Place spinach in saucepan. Add 1/4 cup water.
2) Bring water to a full boil over high heat; reduce heat to medium. 
3) Cover & cook 8 minutes. 
4) Separate with fork and cook 2 more minutes*. 
5) Drain.
*For food safety and best quality cook to a temperature of 160 degrees F.",,Spinach.,,,,,,,,,,,,Frozen,,,,,,,,,,,,,14,,,Mexico
019600045809,110,31589,00019600045809,83e57b70-a4eb-11e1-b291-005056ab0051,1,Pinnacle Foods Group LLC,Pinnacle Foods Group LLC,Celeste,Celeste Pizza For One Deluxe,,,"Keep frozen.
Simply cook & serve.
Cook thoroughly. See back panel.
For food safety & quality, follow these cooking instructions. Do not thaw.
Conventional oven directions:
Do not put microwave disk in conventional oven.
For crisp crust:
1. Place baking sheet on center oven rack; preheat oven to 400 degrees F.
2. Remove frozen pizza from carton; unwrap.
3. Place frozen pizza on preheated baking sheet. 
4. Bake 14 to 16 minutes or until center cheese is melted and crust edge is golden brown.
For extra crisp crust: Place frozen pizza directly on center oven rack. Bake as directed.
Microwave oven directions:
Cook only 1 pizza at a time. Do not add additional toppings.
Microwave ovens vary. Pizza is thoroughly cooked when cheese is melted and hot (at least 165 degrees F).
1. Remove frozen pizza and microwave disk from carton; unwrap.
2. Center disk, silver side up, on microwave-safe plate. Place frozen pizza on disk.
3. Microwave on high (see chart below) or enter TrueCook code 1109.
Microwave oven - cook time.
1100 watt - 3 minutes.
700 watt - 5 1/2 minutes.
4. Use pot holders to remove plate from oven. Loosen pizza from disk with spatula.
Caution: disk and pizza will be very hot.
Note: microwave ovens vary. Cooking time may need to be adjusted. Promptly refrigerate any unused portion. This product must be cooked to an internal temperature greater than 165 degrees F prior to eating.",,"Topping: Sauce (Tomato Puree [Water, Tomato Paste], Seasoning (Salt, Spices, Sugar, Dehydrated Garlic), Green Bell Peppers, Flavor Blend (Maltodextrin, Dextrose, Natural Spice Oleoresins), Modified Corn Starch, Corn Oil, Xanthan Gum), Imitation Mozzarella Cheese Blend (Water, Soybean Oil, Casein (Milk), Low Moisture Part Skim Mozzarella Cheese [Cultured Pasteurized Part Skim Milk, Salt, Enzymes], Modified Food Starch, Salt, Sodium Citrate, Sodium Aluminum Phosphate, Lactic Acid, Natural Flavor, Sodium Phosphates, Artificial Color, Mono and Diglycerides, Sorbic Acid (to preserve Freshness), Artificial Flavor), Cooked Pork Sausage (Pork, Water, Spices, Salt, Dextrose, Paprika, BHT, TBHQ, Citric Acid), Green Bell Peppers, Mushrooms, Red Bell Peppers, Crust: Wheat Flour with Malted Barley Flour, Water, Shortening Flake (Palm Oil, Soy Lecithin, Natural Butter Flavor and Beta Carotene), Soybean Oil, Yeast, High Fructose Corn Syrup, Salt, Fermented Wheat Flour, Cultured Corn Syrup Solids, Dough Conditioner (L-Cysteine Monohydrochloride).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
