Item UPC,Top 500,ID,UPC,Item Description,Manufacturer,Brand,Distributor,GS1 Category,Pkg Manufacturer,Pkg Manufacturer Address,Pkg Manufacturer Phone,Pkg Manufacturer Email,Pkg Manufacturer URL,Pkg Distributor,Pkg Distributor Address,Pkg Distributor Phone,Pkg Distributor Email,Pkg Distributor URL,Marketing Description,Other Description,Units In Package,Packaging Type,Packaging Size,Package Information,Created,Last Updated
016000275263,132,131243,00016000275263,General Mills Cheerios Cereal,"General Mills, Inc.",Cheerios,"General Mills Sales, Inc.",(10000284) Cereals Products Ready to Eat (Shelf Stable),,,,,,"General Mills Sales, Inc","Minneapolis, MN 55440 USA",1-800-328-1144,,generalmills.com,"General Mills Cheerios®.
With whole grain first ingredients.
Per 1 cup serving.
100 calories.
0g sat fat, 0% DV.
140mg Sodium, 6% DV.
1g sugars.
3g fiber, 11% DV.
Calcium: 10% DV.
Carefully selected oats that can help.
Lower cholesterol*.
Toasted whole grain oat cereal.
*Three grams of soluble fiber daily from whole grain oat foods, like Cheerios cereal, in a diet low in saturated fat and cholesterol, may reduce the risk of heart disease. Cheerios cereal provides 1 gram per serving.","This package is sold by weight, not by volume. You can be assured of proper weight even though some settling of contents normally occurs during shipment and handling.
This cereal contains 23g whole grain per serving.
At least 48 grams recommended daily.
A whole grain food is made by using all three parts of the grain. All General Mills Big G cereals contain more whole grain than any other single ingredient.
Whole grain.
23g or more per serving.
wholegrainscouncil.org.
Eat 48g or more of whole grains daily.
www.wholegrainnation.com.
Trusted.
Tried and true, Cheerios® is the first finger food so many moms trust for their little ones.
The One and Only®.
Nutrition keys icons are provided to help guide food choices. They show calorie and nutrient amounts in a serving and the % daily value, when available. Refer to the nutrition facts panel for more information.
Share what Cheerios® means to you.
See what other are saying at facebook.com/cheerios.
Low in saturated fat & cholesterol.
Certified by American Heart Association.
heartcheckmark.org.
Diets low in saturated fat and cholesterol may reduce the risk of heart disease.
100% Recycled Paperboard®.
Exchange: 1 1/2 starch.
Exchange calculations based on choose your foods: exchange lists for diabetes.
©2008 The American Dietetic Association, the American Diabetes Association.
©2013 General Mills.
Our Mission is Nourishing Lives®.
We guarantee your satisfaction with the quality of our products, and we are committed to nourishing lives, to protecting our environment and to giving back to our global communities.
generalmills.com.
1-800-328-1144.",1,BOX,8.9 OZ,,12/18/2013,01/08/2014
070662035030,133,56158,00070662035030,Nissin Chicken Flavor Cup Noodles 6 Pack,Nissin Foods USA Co Inc.,Nissin,,(10000242) Pasta/Noodles Not Ready to Eat (Shelf Stable),,"2001 W. Rosecrans Ave. Gardena, CA 90249",,,www.nissinfoods.com,,,,,,"Nissin??????????????????.
Cup Noodles??????????????????.
Chicken flavor.
6 cup family pack.
For the very best in ramen noodle soup.
Ramen noodle soup.","The original since 1971.
0g trans fat.
See nutrition info for total fat, saturated fat, and sodium content.
Individual cup packages are not intended to be sold separately.",1,PACK,13.5 OZ,,08/05/2011,08/23/2011
045300005492,134,12794,00045300005492,Peter Pan Creamy Peanut Butter,ConAgra Foods Inc.,Peter Pan,ConAgra Foods. Inc,(10000236) Nuts/Seeds Prepared/Processed (Shelf Stable),,"P.O. Box 3768, Dept. PPPB Omaha, NE 68103-0768 USA",1-800-222-7370,,www.peterpanpb.com,,,,,,"Peter Pan?? Creamy Peanut Butter.
No High Fructose Corn Syrup.
Net Wt 16.3 Oz (1.02 Lb) 462g.","Comments, 1-800-222-7370.
ConAgra Foods??. Food you love.
Visit Peter Pan at www.peterpanpb.com.",1,JAR,16.3 OZ,,01/26/2010,01/13/2012
016000196100,135,101159,00016000196100,Gold Medal All-Purpose Flour Unbleached,"General Mills, Inc.",Gold Medal,"General Mills Sales, Inc.",(10000203) Flour Cereal/Pulse (Shelf Stable),,,,,,"General Mills Sales, Inc","Minneapolis, MN 55440 USA",1-800-345-2443,,www.goldmedalflour.com,"Gold Medal® Unbleached All Purpose Flour.
Guaranteed premium quality.
Since 1880.
Enriched presifted flour.
Perfect for all your baking needs.
www.goldmedalflour.com.
Earn cash for your school!","Gold Medal® confidence.
It all began in 1866 when C.C. Washburn began operating his first flour mill, which produced far more barrels of flour than area bakers needed and was nicknamed ""Washburn's Folly."" Fourteen years later, Washburn entered his flour at the first Millers' International Exhibition in Cincinnati, Ohio, where it took the ""Gold Medal"" grand prize as well as the name of its esteemed award. Today, Gold Medal flour is America's best-selling flour, making ""Washburn's Folly"" a success.
Gold Medal still mills its own flour, just as it did over 125 years ago, blending the best premium hard and soft wheats from the heartland, providing the Gold Medal difference and consistency that home bakers have counted on for generations.
The Red Spoon promise.
The Red Spoon is my promise of great taste, quality and convenience. This is a product you and your family will enjoy. I guarantee it.
General Mills, Box 200, Minneapolis, MN 55440.
Visit www.goldmedalflour.com for more great recipes.
©2010 General Mills.
1-800-345-2443 Mon.-Fri. 7:30 A.M. - 5:30 P.M. CT.
www.bettycrocker.com.",1,BAG,5.0 LB,,06/18/2013,07/01/2013
041789001314,136,25145,00041789001314,Maruchan Instant Lunch Chicken Flavor Ramen Noodles with Vegetables 6 Pack,"Maruchan, Inc.",Maruchan,,(10000242) Pasta/Noodles Not Ready to Eat (Shelf Stable),,"Irvine, CA 92618",,,,,,,,,"3 minutes.
Maruchan??????????????????.
Instant lunch.
Chicken flavor.
0grams trans fat.
See nutrition facts for saturated fat and sodium info.
6 pack.
Ramen noodles with vegetables.",,1,PACK,13.5 OZ,,08/05/2011,08/23/2011
051500204412,137,43443,00051500204412,Pillsbury Best All Purpose Flour,The J.M. Smucker Company,Pillsbury,J.M. Smucker,(10000203) Flour Cereal/Pulse (Shelf Stable),,,,,,The J.M. Smucker Company,"Orrville, OH 44667 U.S.A",1-800-767-4466,,pillsburybaking.com,"Pillsbury Best All Purpose Flour.
Since 1869.
Bleached, Enriched.
Great recipes start here.","Questions or Comments? 1-800-767-4466 weekdays 9AM - 7PM (EST).
Package information will be helpful when contacting us.
Visit us at pillsburybaking.com.
Pillsbury, Pillsbury Best and The Pillsbury Barrelhead logo are trademarks of The Pillsbury Company, used under license.
©/™/® The J.M. Smucker Company.",1,BAG,5.0 LB,,03/09/2012,05/06/2012
013000798204,138,27469,00013000798204,Heinz HomeStyle Classic Chicken Gravy,H.J. Heinz Company,Heinz,,(10000280) Sauces Dipping/Condiments/Savoury Toppings/Savoury Spreads/Marinades (Shelf Stable),,"Pittsburgh, PA 15222",1-888-GRAVIES,,www.heinzgravy.com,,,,,,"Heinz HomeStyle Classic Chicken Gravy.
Tastes like homemade.","Contains no preservatives.
For more great Heinz HomeStyle gravy recipes and other inquiries, call 1-888-GRAVIES or visit www.heinzgravy.com.
Heinz EST 1869.",1,JAR,12.0 OZ,,02/01/2012,03/08/2012
051500794203,139,97622,00051500794203,Pillsbury Quick Bread Cranberry Flavored Bread & Muffin Mix,The J.M. Smucker Company,Pillsbury,The J.m. Smucker Company,(10000156) Baking/Cooking Mixes (Shelf Stable),,,,,,J.M. Smucker Company,"Orrville, OH 44667 U.S.A",1-800-767-4466,,www.pillsburybaking.com,"Pillsbury® Quick Bread Cranberry Flavored Bread & Muffin Mix.
Made with real cranberries and orange peel!
Cranberry naturally flavored.","Questions or comments? 1-800-767-4466 weekdays 9AM - 7PM (EST).
Visit us at www.pillsburybaking.com.
Pillsbury, The Pillsbury Barrelhead logo, Pillsbury best and The Pillsbury Doughboy are trademarks of The Pillsbury Company, used under license.
Made with 35% recycled fiber.
Try all 12 quick bread varieties.
Banana, cranberry, blueberry, apple cinnamon, pumpkin, cinnamon swirl, nut, date, lemon poppy seed, pecan swirl, carrot, chocolate chip swirl.
©/®The J.M. Smucker Company.",1,BOX,15.6 OZ,,02/24/2012,06/06/2013
884912014245,140,133095,00884912014245,Post Honey Bunches Of Oats Crunchy Honey Roasted Cereal,"Post Foods, LLC",Honey Bunches Of Oats,,(10000284) Cereals Products Ready to Eat (Shelf Stable),,"1 Upper Pond Road Parsippany, NJ 07054 USA",1-800-431-POST (7678),,honeybunchesofoats.com,,,,,,"Post® Honey Bunches of Oats® Crunchy Honey Roasted Cereal. 
4 wholesome grains and 9 essential vitamins and minerals.
Made with natural wildflower honey.","Born in 1989, Honey Bunches of Oats hit the market and became an instant success. But, did you know it all started from a single smile?
Loving father and lifelong Post employee, Vernon J. Herzing, had the idea to combine a few of Post's cereals together to make the ultimate tasty breakfast. With a little help from his daughter, he knew he was onto something the moment he saw her face light up with a smile.
Over two decades later, Vernon's special cereal has made over 50,000,000 smiles, yours included!
Spread your smile on our Facebook page and share what it is you love about Honey Bunches of Oats.
Our Post® promise.
No high fructose corn syrup.
Whole grain.
10g or more per serving.
wholegrainscouncil.org.
Eat 48g or more of whole grains daily.
Per 3/4 cup serving:
120 calories.
0g sat fat, 0% DV.
140mg sodium, 6% DV.
6g sugars.
Iron 60% DV.
Vitamin D 10% DV.
""It's mm, mm, mmm.""
""It's yummy. It's crunchy. It's sweet!""
""I can taste the sweetness - very good!""
""It's just the taste, it's amazing.""
""Where have I been? This is good!""
""My kids will love it!""
Smiles & counting!
Carton made from 100% recycled paperboard.
Minimum 35% post-consumer content.
©Post Foods, LLC.
Visit us at: honeybunchesofoats.com or call weekdays: 1-800-431-POST (7678).
Please have package available.",1,BOX,14.5 OZ,,12/18/2013,01/08/2014
051500602355,141,97639,00051500602355,Pillsbury Moist Supreme Cake Mix Classic Yellow,The J.M. Smucker Company,Pillsbury,J.M. Smucker,(10000156) Baking/Cooking Mixes (Shelf Stable),,,,,,The J.M. Smucker Company,"Orrville, OH 44667 USA",1-800-767-4466,,www.pillsburybaking.com,"Pillsbury Moist Supreme® Classic Yellow Premium Cake Mix.
As always, Pudding in the Mix.
Makes 24 Cupcakes*.","Try our other products!
Pillsbury, Family Size, Chocolate Fudge.
Pillsbury, Funfetti, Vanilla.
Pillsbury, The Barrelhead logo and The Doughboy Character are trademarks of The Pillsbury Company, LLC, used under license.
Questions or comments? 1-800-767-4466 weekdays 9AM-7PM (EST).
Visit us at www.pillsburybaking.com.
Bundt* is a registered trademark of Northland Aluminum Products, Inc. Minneapolis, MN.
Made with 35% recycled fiber.
©/® The J.M. Smucker Company.",1,BOX,15.25 OZ,,10/25/2012,06/06/2013
049200056004,142,30519,00049200056004,Domino Pure Cane Dark Brown Sugar,"Domino Foods, Inc.",Domino,"Domino Foods, Inc.",(10000043) Sugar/Sugar Substitutes (Shelf Stable),,,,,,"Domino Foods, Inc","Yonkers, NY 10705",1-800-729-4840,,www.dominosugar.com,"Domino® ""We'll Always Be Your Sugar!"" Dark Brown Sugar.
Premium pure cane sugar.
Domino® sugar, over 100 years.","Pure cane.
Contains: net wt 1 lb (453g) approximately 2 1/4 cups.
Questions or comments?
Call: 1-800-729-4840.
Pure sugar.
Tuck tab in slot.
Sugar, the natural sweetener. (15 calories per teaspoon).
Sugar is a 100% natural simple carbohydrate.
Carbohydrates are an important part of any balanced diet.
Sugar contains no fat or cholesterol and has 15 calories per teaspoon.
www.dominosugar.com.",1,BOX,1.0 LB,,02/06/2012,02/21/2012
613008732240,144,93429,00613008732240,Arizona Iced Tea with Lemon Flavor,Arizona Beverages USA,Arizona,,(10000118) Tea Ready to Drink,,"Woodbury, NY 11797 USA",1-800-832-3775,,www.drinkarizona.com,,,,,,"Arizona® Iced Tea with Lemon Flavor.
Vitamin C antioxidant Antiox.","100% natural.
No preservatives.
No artificial color.
No artificial flavor.
For more info about AriZona call 1-800-832-3775.
Visit us at www.drinkarizona.com.
Arizona an American Company.
Drinkarizona.com.
©Beverages Marketing USA, Inc.",1,BOTTLE,64.0 FL OZ,,03/29/2013,04/16/2013
049200056752,145,3483,00049200056752,Domino Pure Cane Light Brown Sugar,"Domino Foods, Inc.",Domino,"Domino Foods, Inc.",(10000043) Sugar/Sugar Substitutes (Shelf Stable),,,,,,"Domino Foods, Inc","Yonkers, NY 10705",1-800-729-4840,,www.dominosugar.com,"Domino® Light Brown Sugar.
""We'll always be your sugar!""
Premium pure cane sugar.
Domino® sugar, over 100 years.","Pure cane.
Sugar, the natural sweetener. (15 calories per teaspoon).
Tuck tab in slot.
Sugar is a 100% natural simple carbohydrate.
Carbohydrates are an important part of any balanced diet.
Sugar contains no fat or cholesterol and has 15 calories per teaspoon.
www.dominosugar.com.
Contains: net wt 1 lb (453g) approximately 2 1/4 cups.
Questions or comments?
Call: 1-800-729-4840.
Pure sugar.",1,BOX,1.0 LB,,02/06/2012,02/21/2012
049200051009,146,20159,00049200051009,Domino Pure Cane 10-X Powdered Confectioners Sugar,"Domino Foods, Inc.",Domino,"Domino Foods, Inc.",(10000043) Sugar/Sugar Substitutes (Shelf Stable),,,,,,"Domino Foods, Inc","Yonkers, NY 10705",1-800-729-4840,,www.dominosugar.com,"Domino?? ""We'll Always Be your Sugar!"" Confectioners Sugar.
Pure cane sugar 10-x powdered sugar.
Domino?? sugar, over 100 years.","Pure sugar.
Tuck tab in slot.
Sugar, the natural sweetener. (15 calories per teaspoon).
Domino?? confectioners sugar is a very fine, powdered sugar with an exceptionally smooth texture.
Ideal for satiny smooth frosting, fudge and candies, confectioners 10-X is also delicious dusted on brownies, doughnuts, fruits and cakes.
Sugar is a 100% natural simple carbohydrate.
Carbohydrates are an important part of any balanced diet.
Sugar contains no fat or cholesterol and has 15 calories per teaspoon.
www.dominosugar.com.
Pure cane.
Contains: net wt 1 lb (453g) approximately 3 3/4 cups.
Questions or comments?
Call: 1-800-729-4840.",1,BOX,1.0 LB,,02/06/2012,02/22/2012
049200051757,147,26150,00049200051757,Domino Pure Cane 10-X Powdered Confectioners Sugar,"Domino Foods, Inc.",Domino,"Domino Foods, Inc.",(10000043) Sugar/Sugar Substitutes (Shelf Stable),,,,,,"Domino Foods, Inc","Yonkers, NY 10705",1-800-729-4840,,www.dominosugar.com,"Domino® Pure Cane 10-X Powdered Confectioners Sugar.
""We'll always be your sugar!""
Confectioners sugar.
Domino® sugar, over 100 years.","Domino® confectioners sugar is a very fine, powdered sugar with an exceptionally smooth texture.
Ideal for satiny smooth frosting, fudge and candies, confectioners 10-X is also delicious dusted on brownies, donuts, fruits and cakes.
www.dominosugar.com
Sugar, the natural sweetener.
(15 calories per teaspoon).
Contains: approximately 7 1/2 cups.
Questions or comments? Call 1-800-729-4840.
2 lb confectioners sugar.
Pure sugar.",1,BAG,2.0 LB,,02/06/2012,02/26/2012
079606010157,148,93715,00079606010157,Tina's Burrito Red Hot Beef,Camino Real Kitchens,Tina's,,(10000254) Sandwiches/Filled Rolls/Wraps (Frozen),,"Vernon, CA 90058",,,www.tinasburritos.com,,,,,,"Tina's® Red Hot Beef Burrito.
Microwaveable.
Textured vegetable protein added.
U.S. inspected and passed by Department of Agriculture. Est 9887.","A taste for convenience.
100% recyclable plastic.
www.tinasburritos.com.",1,PACKAGE,4.0 OZ,,04/30/2013,05/03/2013
014800646085,149,92032,00014800646085,Hawaiian Punch Fruit Juicy Red,Mott's LLP,Hawaiian Punch,,(10000220) Juice Ready to Drink (Shelf Stable),,"5301 Legacy Drive, Plano, TX 75024",1-866-ASK-PUNCHY,,hawaiianpunch.com,,,,,,"Made with natural fruit juices.
Hawaiian Punch® Fruit Juicy Red®.
100% DV vitamin C per 8 fl oz serving.
We welcome your questions or comments.
Please call 1-866-ASK-PUNCHY.
hawaiianpunch.com.
Natural & artificial fruit flavored juice drink.
70 calories per 8 fl oz serving.
1 gal (3.78 L).","Contains 5% fruit juice.
Caffeine free.
Please recycle.
©2011 Dr Pepper/Seven Up, Inc.",1,BOTTLE,1.0 GAL,,03/15/2013,04/01/2013
041196020229,151,84772,00041196020229,Progresso Red Kidney Beans,"General Mills, Inc.",Progresso,"General Mills Cereals, LLC.",(10000272) Vegetables Prepared/Processed (Shelf Stable),,,,,,"Progresso Foods Division General Mills Cereals, LLC","General Offices, Minneapolis, MN 55440 USA",1-800-200-9377,,,"Progresso® Red Kidney Beans.
Quality foods.","Questions or comments? 
Call 1-800-200-9377 weekdays 7:30 - 5:30 CT. 
Information from label and end of can will be helpful. 
Progresso Consumer Services, P.O. Box 200, Minneapolis, MN 55440.
Please recycle.
©2004 Pet Inc.
©2004 General Mills.",1,CAN,19.0 OZ,,01/31/2013,02/13/2013
077644301329,152,59778,00077644301329,Francesco Rinaldi Original Traditional Pasta Sauce,"LiDestri Foods, Inc",Francesco Rinaldi,,(10000057) Sauces Cooking (Shelf Stable),,"815 West Whitney RD., Fairport, NY 14450",,,www.francescorinaldi.com,,,,,,"Francesco Rinaldi Original Traditional Pasta Sauce.
Made by Italians. Enjoyed by everyone.
Limited warranty to consumers. Good housekeeping promises replacement or refund if defective.","Francesco Rinaldi has created its delicious ""Traditional"" original pasta sauce with the finest tomatoes, imported Pecorino Romano cheese, imported extra virgin olive oil and just the right touch of spices.
All natural. No additives. No preservatives. No starch.
Our web site is a great place to visit, with everything from exciting recipes, to special offers, to even a handy glossary of Italian word and phrase translations. We invite you to sample our site and all of its ingredients as we celebrate life, family, friends and Italian food. Enjoy!
www.francescorinaldi.com.",1,JAR,24.0 OZ,,01/24/2011,03/02/2011
031200016034,154,79146,00031200016034,Ocean Spray Whole Berry Cranberry Sauce,"Ocean Spray Cranberries, Inc.",Ocean Spray,,(10000280) Sauces Dipping/Condiments/Savoury Toppings/Savoury Spreads/Marinades (Shelf Stable),,"Lakeville-Middleboro, Massachusetts 02349 USA",1-800-662-3263,,www.oceanspray.com,"Ocean Spray Cranberries, Inc., A Grower Cooperative","Lakeville-Middleboro, Massachusetts 02349 USA",1-800-662-3263,,www.oceanspray.com,Ocean Spray® Whole Berry Cranberry Sauce.,"As Ocean Spray grower's we've farmed our cranberry bogs for over 75 years. Ocean Spray cranberry sauce has been a tradition at our table for generations, and we hope you enjoy it too!
Made in the USA with North American Cranberries.
Our commitment to quality.
We guarantee your complete satisfaction with our product or we will replace it. Please have entire package available when calling with any comments or questions, 1-800-662-3263 weekdays 9 am to 4 pm Est.
www.oceanspray.com.
Visit our website for recipes at www.oceanspray.com or call 1-800-662-3263.",1,CAN,14.0 OZ,,11/16/2012,11/29/2012
613008721831,156,32730,00613008721831,Arizona Green Tea Diet with Ginseng - 12 PK,Arizona Beverages USA,Arizona,,(10000118) Tea Ready to Drink,,"Lake Success, NY 11042 USA",1-800 TEA 3775,,www.drinkarizona.com,,,,,,"Arizona??® Diet Green Tea with Ginseng.
Natural antioxidant.
Antiox.
Sweetened with Splenda?? brand.
100% natural tea.
No preservatives.
No artificial flavor.
No artificial color.","No calorie.
??Beverage Marketing USA, Inc.
For more info about Arizona call 1-800 TEA 3775.
Check out our new exciting website www.drinkarizona.com.",1,BOX,11.5 FL OZ,,05/09/2012,05/16/2012
071300000755,157,16266,00071300000755,Ronzoni Enriched Macaroni Product Rotini,New World Pasta Company,Ronzoni,New World Pasta Company,(10000242) Pasta/Noodles Not Ready to Eat (Shelf Stable),,,,,,New World Pasta Co,"Harrisburg, Pennsylvania 17112-6457 U.S.A",1-800-730-5957,,www.ronzoni.com,"Ronzoni??® Rotini.
Simply perfect pasta.™
Enriched macaroni product.","For delicious recipes and cooking tips visit www.ronzoni.com.
Questions or comments, visit our web site or call 1-800-730-5957.
©??NWPC.
We have been trusted for generations to ensure that only the finest quality ingredients make it from the field to your family's table. Today, our special flour blend ensures that Ronzoni pasta is...
Always firm.
Never sticky.
Simply delicious.
We guarantee it!
Ronzoni Sono Buoni... Ronzoni is So Good!®.
A low fat, sodium free, cholesterol free food.
Contents may settle. Product sold by weight not volume.",1,BOX,1.0 LB,,05/15/2012,05/30/2012
049200057803,158,13635,00049200057803,Domino Pure Cane Light Brown Sugar,"Domino Foods, Inc.",Domino,"Domino Foods, Inc.",(10000043) Sugar/Sugar Substitutes (Shelf Stable),,,,,,"Domino Foods, Inc","Yonkers, NY 10705",1-800-729-4840,,www.dominosugar.com,"Domino® Pure Cane Light Brown Sugar.
""We'll always be your sugar!""
Premium.
Pure cane sugar.
Domino® sugar over 100 years.","Brown sugar can harden when exposed to air for an extended period. To help prevent hardening, place soft brown sugar in an airtight container. Freeze for prolonged storage. (Brown sugar thaws rapidly.)
Sugar, the natural sweetener.
(15 calories per teaspoon).
www.dominosugar.com.
Contains: approximately 4 1/2 cups.
Questions or comments? Call: 1-800-729-4840.
2 lb light brown sugar.
Pure sugar.",1,BAG,2.0 LB,,02/06/2012,02/26/2012
071300001240,159,40644,00071300001240,Ronzoni Enriched Macaroni Product Rotelle,New World Pasta Company,Ronzoni,New World Pasta Company,(10000242) Pasta/Noodles Not Ready to Eat (Shelf Stable),,,,,,New World Pasta Co,"Harrisburg, Pennsylvania 17112-6457 U.S.A",1-800-730-5957,,www.ronzoni.com,"Ronzoni?? Enriched Macaroni Product Rotelle.
Simply Perfect Pasta.","We have been trusted for generations to ensure that only the finest quality ingredients make it from the field to your family's table. Today, our special flour blend ensures that Ronzoni pasta is...Always firm. Never sticky. Simply delicious.
We guarantee it!
Ronzoni Sono Buoni... Ronzoni is So Good!??.
A low fat, sodium free, cholesterol free food.
Contents may settle. Product sold by weight not volume.
For delicious recipes and cooking tips visit www.ronzoni.com.
Questions or comments, visit our web site or call 1-800-730-5957.
??NWPC.",1,BOX,1.0 LB,,05/15/2012,05/29/2012
019600052005,160,41994,00019600052005,Aunt Jemima Waffles Homestyle - 10 CT,Pinnacle Foods Group LLC,Aunt Jemima,,(10000301) Dough Based Products Not Ready to Eat Savoury (Frozen),,"Cherry Hill, NJ 08003-3620 USA",1-800-768-6287,,www.auntjemimafrozen.com,,,,,,"Aunt Jemima?? Waffles Homestyle
Every Batch Made from Scratch.
Made with Real Eggs & Milk and other ingredients.
No High Fructose Corn Syrup, Artificial Flavors or Preservatives.","Aunt Jemima is a registered trademark of The Quaker Oats Company and is used under license.
Questions or comments? 1-800-768-6287.
www.auntjemimafrozen.com.",1,BOX,12.3 OZ,,05/23/2012,06/05/2012
025500003672,161,110588,00025500003672,Folgers Classic Roast Medium Roast Ground Coffee,The Folger Coffee Company,Folgers,The Folger Coffee Company,(10000111) Coffee/Coffee Substitutes Beans/Ground,,"Orrville, OH 44667 USA",1-800-937-9745,,www.folgers.com,,,,,,"Folgers® Classic Roast® Medium Roast Ground Coffee.
Mountain Grown®.
Rich, pure taste.
Makes up to 270 6 oz cups.","Folgers Aroma Seal™.
Wake up to rich, pure taste.
Each cup is important to us. That's why we specially roast each bean at the right temperature to release rich flavors and aromas.
100% pure coffee.
www.folgers.com.
Questions? 1-800-937-9745.
Canisters are recyclable where programs for this package exist.",1,CONTAINER,33.9 OZ,,06/28/2011,09/03/2013
076808502947,162,91016,00076808502947,Barilla Rigatoni,Barilla America,Barilla,Barilla America,(10000242) Pasta/Noodles Not Ready to Eat (Shelf Stable),,"Bannockburn, IL 60015",1-800-922-7455,,www.barilla.com,,,,,,"Barilla® Rigatoni.
""Al dente"" perfection in 12-13 minutes.
Enriched macaroni product.
EST. Parma 1877 - Italy's #1 brand of pasta™.","For more recipe ideas and to find out more about Barilla, visit us at www.barilla.com.
Try Barilla sauce: simple, natural, delicious:
Sun-ripened tomatoes, imported olive oil, and fragrant herbs, simmered to perfection, for a burst of flavor in every bite.
100% Natural.
No Preservatives.
Enjoy all the Barilla Sauce recipes for a delicious and easy meal!
Italy's #1 brand of pasta sauce, Barilla®, spicy marinara, arrabbiata, all natural, net wt 24 oz (680g).
Paperboard carton.
Recycle with paper.
Call 1-800-922-7455 with any comments or questions.",1,BOX,1.0 LB,,03/06/2013,03/19/2013
044600307695,163,42345,00044600307695,Clorox Concentrated Bleach Regular,Clorox,Clorox,,(10000531) Bleach,,"1221 Broadway, Oakland, CA 94612",1-800-292-2200,,www.clorox.com,,,,,,"Clorox® Regular Bleach.
Now concentrated.
Same number of uses as before*.
64 oz = 96 oz.
Improved whitening.
For standard & HE-machines.
*Vs. previous Clorox® regular-bleach.
2 qt (64 fl oz) 1.89 L.","Clorox is a reg. trademark of The Clorox Co.
Clorox® regular-bleach, is now concentrated.
Use 1/2 cup per load.
Easy to handle bottle.
Try Clorox 2® stain fighter & color booster.
Removes stains and brightens colors! Learn more at www.clorox.com.
Contains no phosphorus.
Questions or comments?
Visit our website at www.clorox.com or call 1-800-292-2200.
A list of this product's ingredients is available at www.ingredientsinside.com.
©2004, 2007.",1,JUG,64.0 FL OZ,,08/29/2012,09/07/2012
041196020328,164,84769,00041196020328,Progresso Cannellini White Kidney Beans,"General Mills, Inc.",Progresso,"General Mills Cereals, LLC.",(10000272) Vegetables Prepared/Processed (Shelf Stable),,,,,,"Progresso Foods Division General Mills Cereals, LLC","General Offices, Minneapolis, MN 55440 USA",1-800-200-9377,,,"Progresso® Cannellini White Kidney Beans.
Quality foods.","Questions or comments? 
Call 1-800-200-9377 weekdays 7:30 - 5:30 CT. 
Information from label and end of can will be helpful. 
Progresso Consumer Services, P.O. Box 200, Minneapolis, MN 55440.
Please recycle.
©2004 Pet Inc.
©2004 General Mills.",1,CAN,19.0 OZ,,01/31/2013,02/13/2013
075717952089,165,80053,00075717952089,Rienzi White Clam Italian Style Pasta Sauce,"Rienzi & Sons, Inc.",Rienzi,,(10000258) Shellfish Prepared/Processed (Shelf Stable),,,,,,"Rienzi & Sons, Inc","Astoria, NY 11105",,,www.rienzifoods.com,"Rienzi® White Clam Italian Style Pasta Sauce.
Authentic sauce recipe.",www.rienzifoods.com.,1,CAN,15.0 OZ,,12/04/2012,12/17/2012
895059000619,166,56647,00895059000619,Barilla Lasagne Noodles,Barilla America,Barilla,,(10000242) Pasta/Noodles Not Ready to Eat (Shelf Stable),,,,,,"Barilla America, Inc","Bannockburn, IL 60015",1-800-922-7455,,www.barillaus.com,"Barilla® Lasagne Noodles.
""Al dente"" perfection in 8-9 minutes.
Italy's #1 brand of pasta.
Enriched macaroni product.","Call 1-800-922-7455 with any comments or questions.
Visit us at www.barillaus.com for Italian recipes and entertaining ideas.
No boiling required, Barilla®, lasagne.
For authentic Italian lasagne, try Barilla oven-ready lasagne.
Rolled flat like homemade.
No boiling required.
Barilla, the choice of Italy.
Italians are passionate about the arts, culture and good eating, but most of all they love pasta. In Italy, pasta is more than just a meal, it is a way of life. Behind every plate of pasta is the joy of offering the best to family and friends. That is why Italians demand that their pasta must always cook up ""al dente,"" firm yet tender, never sticky. It is no wonder that Barilla is the first choice of Italy for perfect pasta every time.",1,BOX,1.0 LB,,01/20/2012,01/31/2012
031000101015,167,36879,00031000101015,Banquet Pot Pie Chicken,ConAgra Foods Inc.,Banquet,,(10005769) Chicken Prepared/Processed,,"P.O. Box 3768, Dept. B Omaha, NE 68103-0768 U.S.A",1-800-257-5191,,www.conagrafoods.com/mwcooking,,,,,,"Banquet® Chicken Pot Pie.
Microwaveable.
See back for directions.
Inspected for wholesomeness by U.S. department of agriculture.
Try our fruit pies!
Banquet®, apple pie.","Questions or comments, call Mon.-Fri., 9:00 AM-7:00 PM (CST) 1-800-257-5191 (except national holidays). Please have entire package available when you call so we may gather information off the label.
For more information, go to www.conagrafoods.com/mwcooking or call 1-800-257-5191.
ConAgra Foods®.
Food you love.",1,BOX,7.0 OZ,,06/14/2012,06/28/2012
